solver_name,run_id,reward_calculator_name,feature_constructor_used_features,acceptance_rate,avg_r2c_ratio,long_term_time_r2c_ratio,long_term_avg_time_revenue,success_count,early_rejection_count,place_failure_count,route_failure_count,total_cost,total_revenue,total_time_revenue,total_time_cost,long_term_r2c_ratio,total_simulation_time,long_term_avg_revenue,long_term_avg_cost,min_p_net_available_resource,min_p_net_node_available_resource,min_p_net_link_available_resource,max_inservice_count,total_violation,total_max_single_step_violation,avg_reward,seed,p_net_dataset_dir,v_nets_dataset_dir,start_run_time,clock_running_time
mip,test_run_fixed,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.6,0.5395177370739624,0.8486103133981736,1826.1199787895057,3,0,0,0,419.0,356.0,235569.47726384623,277594.40763868665,0.8496420047732697,129.0,2.75968992248062,3.248062015503876,4035.0,2165,1870.0,3,0.0,-inf,0.0,0,dataset/p_net/16-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_0,dataset/v_nets/5-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_0,20251103T084107,40.65434122085571
mip,mip_tree_seed_0,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.46,0.4215978766377087,0.8820272590606408,1243.8457236680497,92,0,0,0,13420.0,11472.0,5765224.92920141,6536334.189196574,0.8548435171385991,4635.0,2.475080906148867,2.895361380798274,6688.0,3801,2874.0,17,0.0,-inf,0.0,0,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_0,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_0,20251103T085254,2430.393214941025
mip,mip_tree_seed_1,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.44,0.41352621362829267,0.8503617463843345,769.3765853159194,88,0,0,0,11331.0,9805.0,3739170.2046353687,4397152.4125279635,0.8653252140146501,4860.0,2.0174897119341564,2.3314814814814815,7227.0,4071,3143.0,12,0.0,-inf,0.0,1,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_1,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_1,20251103T093327,6471.582232713699
mip,mip_tree_seed_2,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.4,0.3746747879431209,0.8903755688382621,1063.0169068760829,80,0,0,0,9888.0,8801.0,5152442.947628374,5786819.773537971,0.8900687702265372,4847.0,1.8157623272127088,2.0400247575820094,7576.0,4308,3268.0,15,0.0,-inf,0.0,2,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_2,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_2,20251103T112121,2786.5745329856873
mip,mip_tree_seed_3,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.45,0.42865698133563596,0.9308392614723666,905.5725270234221,90,0,0,0,10440.0,9410.0,4233551.563834499,4548101.631572808,0.9013409961685823,4675.0,2.0128342245989304,2.233155080213904,8104.0,4242,3789.0,14,0.0,-inf,0.0,3,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_3,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_3,20251103T120750,1668.1087801456451
mip,mip_tree_seed_4,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.405,0.3819565102737533,0.8987272387885645,1032.9980097098114,81,0,0,0,10085.0,9116.0,4548290.2367523,5060812.714303783,0.9039167079821517,4403.0,2.0704065409947763,2.2904837610719966,8010.0,4459,3540.0,11,0.0,-inf,0.0,4,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_4,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_4,20251103T123542,3147.2677879333496
d_round,drounding_tree_seed_0,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.11,0.05159683211319775,0.37254356188565996,133.40946086449796,22,0,0,178,3086.0,1136.0,618352.8511069481,1659813.5476482378,0.3681140635126377,4635.0,0.24509169363538297,0.6658036677454153,8577,4479,4098,5,17800.0,-inf,0.0,0,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_0,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_0,20251103T195048,111.75183010101318
d_round,drounding_tree_seed_1,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.13,0.04948842585468464,0.356702142431961,131.4868611549799,26,0,0,174,4495.0,1355.0,639026.1452132022,1791483.8998621742,0.3014460511679644,4860.0,0.2788065843621399,0.9248971193415638,8024,4375,3632,5,17400.0,-inf,0.0,1,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_1,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_1,20251103T195242,941.990565776825
d_round,drounding_tree_seed_2,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.14,0.05059312177176935,0.29541099600324217,104.84675743075333,28,0,0,172,5050.0,1564.0,508192.23326686135,1720288.818434111,0.3097029702970297,4847.0,0.32267381885702495,1.0418815762327214,8421,4681,3740,5,17200.0,-inf,0.0,2,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_2,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_2,20251103T200826,115.2493360042572
d_round,drounding_tree_seed_3,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.145,0.051805697827567984,0.2784375691011624,234.28246596883275,29,0,0,171,6036.0,1715.0,1095270.528404293,3933630.5511500766,0.28412856196156394,4675.0,0.36684491978609624,1.2911229946524063,8216,4516,3700,6,17100.0,-inf,0.0,3,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_3,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_3,20251103T201024,2613.6923320293427
d_round,drounding_tree_seed_4,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.1,0.049906060992139206,0.32909880462381436,137.11997099812007,20,0,0,180,3046.0,1127.0,603739.2323047227,1834522.7142190435,0.3699934340118188,4403.0,0.2559618441971383,0.6918010447422213,8713,4847,3866,4,18000.0,-inf,0.0,4,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_4,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_4,20251103T205359,2506.8938341140747
