v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,22.0,9202,4586,4616,0.0,0.0,0,27.93502765653346,22.0,7,8,False,"{0: 9, 1: 32, 2: 20, 3: 0}","{(3, 0): [(0, 1), (1, 4), (4, 9)], (3, 1): []}","{(0, 9): {'cpu': 17}, (1, 32): {'cpu': 3}, (2, 20): {'cpu': 3}, (3, 0): {'cpu': 1}}","{((3, 0), (0, 1)): {'bw': 42}, ((3, 0), (1, 4)): {'bw': 42}, ((3, 0), (4, 9)): {'bw': 42}}",0.0,0.0,108.0,54.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -93}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -83}, 1: {'cpu': -94}, 2: {'cpu': -93}, 3: {'cpu': -93}}, 'link_level': {(3, 0): {'bw': -12}, (3, 1): {'bw': 100.0}}, 'path_level': {(3, 0): {}, (3, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(3, 0): {'bw': 0}, (3, 1): {'bw': 100.0}}, 'path_level': {(3, 0): {}, (3, 1): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,4.0,2.0
2,1,1,38.0,174.0,4239.644941438745,19413.11104764057,0.21839080459770116,0.21839080459770116,2,1,1,49.0,9028,4582,4446,0.0008722197993894509,0.03682842287694976,1,111.56960372207224,49.0,2,1,True,"{0: 52, 1: 0}","{(1, 0): [(0, 1), (1, 4), (4, 9), (9, 20), (20, 52)]}","{(0, 52): {'cpu': 0}, (1, 0): {'cpu': 4}}","{((1, 0), (0, 1)): {'bw': 34}, ((1, 0), (1, 4)): {'bw': 34}, ((1, 0), (4, 9)): {'bw': 34}, ((1, 0), (9, 20)): {'bw': 34}, ((1, 0), (20, 52)): {'bw': 34}}",174.0,38.0,8.0,4.0,34.0,4.0,34.0,4.0,170.0,136.0,0.21839080459770116,19413.11104764057,4239.644941438745,24.36577552551003,Success,0.0,"{'node_level': {'cpu': -90}, 'link_level': {'bw': -20}, 'path_level': {}}","{'node_level': {0: {'cpu': -100}, 1: {'cpu': -90}}, 'link_level': {(1, 0): {'bw': -20}}, 'path_level': {(1, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}}, 'path_level': {(1, 0): {}}}",[],-20.0,0.0,True,True,False,0,[],0,0.0,2.0,1.0
2,1,1,38.0,174.0,4239.644941438745,19413.11104764057,0.21839080459770116,0.21839080459770116,2,2,0,49.935027656533464,9028,4582,4446,0.0008722197993894509,0.03682842287694976,0,27.93502765653346,22.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
3,1,1,38.0,174.0,4239.644941438745,19413.11104764057,0.21839080459770116,0.21839080459770116,2,3,1,68.0,9028,4582,4446,0.0008722197993894509,0.03682842287694976,2,9.347735385023263,68.0,5,6,False,"{0: 9, 1: 32, 2: 0, 3: 1, 4: 52}","{(1, 0): [(32, 16), (16, 7), (7, 3), (3, 1), (1, 4), (4, 9)], (3, 0): [(1, 4), (4, 9)], (3, 1): [(1, 3), (3, 7), (7, 16), (16, 32)], (4, 1): []}","{(0, 9): {'cpu': 13}, (1, 32): {'cpu': 1}, (2, 0): {'cpu': 2}, (3, 1): {'cpu': 2}, (4, 52): {'cpu': 19}}","{((1, 0), (32, 16)): {'bw': 12}, ((1, 0), (16, 7)): {'bw': 12}, ((1, 0), (7, 3)): {'bw': 12}, ((1, 0), (3, 1)): {'bw': 12}, ((1, 0), (1, 4)): {'bw': 12}, ((1, 0), (4, 9)): {'bw': 12}, ((3, 0), (1, 4)): {'bw': 30}, ((3, 0), (4, 9)): {'bw': 30}, ((3, 1), (1, 3)): {'bw': 39}, ((3, 1), (3, 7)): {'bw': 39}, ((3, 1), (7, 16)): {'bw': 39}, ((3, 1), (16, 32)): {'bw': 39}}",0.0,0.0,74.0,37.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -81}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -87}, 1: {'cpu': -96}, 2: {'cpu': -88}, 3: {'cpu': -95}, 4: {'cpu': -81}}, 'link_level': {(1, 0): {'bw': -35}, (3, 0): {'bw': -5}, (3, 1): {'bw': -13}, (4, 1): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (3, 0): {}, (3, 1): {}, (4, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (3, 0): {'bw': 0}, (3, 1): {'bw': 0}, (4, 1): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (3, 0): {}, (3, 1): {}, (4, 1): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,5.0,4.0
3,1,1,38.0,174.0,4239.644941438745,19413.11104764057,0.21839080459770116,0.21839080459770116,2,4,0,77.34773538502327,9028,4582,4446,0.0008722197993894509,0.03682842287694976,2,9.347735385023263,68.0,5,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
4,1,1,38.0,174.0,4239.644941438745,19413.11104764057,0.21839080459770116,0.21839080459770116,2,5,1,105.0,9028,4582,4446,0.0008722197993894509,0.03682842287694976,3,789.206363214473,105.0,5,5,False,"{0: 9, 1: 52, 2: 37, 3: 32}","{(2, 0): [(37, 21), (21, 10), (10, 4), (4, 9)], (3, 2): []}","{(0, 9): {'cpu': 19}, (1, 52): {'cpu': 12}, (2, 37): {'cpu': 17}, (3, 32): {'cpu': 0}}","{((2, 0), (37, 21)): {'bw': 36}, ((2, 0), (21, 10)): {'bw': 36}, ((2, 0), (10, 4)): {'bw': 36}, ((2, 0), (4, 9)): {'bw': 36}}",0.0,0.0,98.0,49.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -97}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -81}, 1: {'cpu': -88}, 2: {'cpu': -82}, 3: {'cpu': -97}}, 'link_level': {(2, 0): {'bw': -14}, (3, 2): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (3, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(2, 0): {'bw': 0}, (3, 2): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (3, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,4.0,2.0
5,1,1,38.0,174.0,4239.644941438745,19413.11104764057,0.21839080459770116,0.21839080459770116,2,6,1,131.0,9028,4582,4446,0.0008722197993894509,0.03682842287694976,4,126.75285601976255,131.0,9,10,False,"{0: 5, 1: 0, 2: 1, 3: 52}","{(2, 0): [(1, 0), (0, 2), (2, 5)], (3, 2): []}","{(0, 5): {'cpu': 2}, (1, 0): {'cpu': 1}, (2, 1): {'cpu': 13}, (3, 52): {'cpu': 19}}","{((2, 0), (1, 0)): {'bw': 9}, ((2, 0), (0, 2)): {'bw': 9}, ((2, 0), (2, 5)): {'bw': 9}}",0.0,0.0,168.0,84.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -81}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -87}, 1: {'cpu': -89}, 2: {'cpu': -84}, 3: {'cpu': -81}}, 'link_level': {(2, 0): {'bw': -11}, (3, 2): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (3, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(2, 0): {'bw': 0}, (3, 2): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (3, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,4.0,2.0
6,1,1,38.0,174.0,4239.644941438745,19413.11104764057,0.21839080459770116,0.21839080459770116,2,7,1,155.0,9028,4582,4446,0.0008722197993894509,0.03682842287694976,5,211.82855231649557,155.0,5,6,False,"{0: 9, 1: 52, 2: 32, 3: 0, 4: 37}","{(2, 0): [(32, 16), (16, 7), (7, 3), (3, 1), (1, 4), (4, 9)], (2, 1): [(32, 16), (16, 7), (7, 3), (3, 1), (1, 4), (4, 9), (9, 20), (20, 52)], (4, 0): [(37, 21), (21, 10), (10, 4), (4, 9)], (4, 1): [(37, 21), (21, 10), (10, 4), (4, 9), (9, 20), (20, 52)], (4, 2): []}","{(0, 9): {'cpu': 19}, (1, 52): {'cpu': 16}, (2, 32): {'cpu': 12}, (3, 0): {'cpu': 3}, (4, 37): {'cpu': 13}}","{((2, 0), (32, 16)): {'bw': 2}, ((2, 0), (16, 7)): {'bw': 2}, ((2, 0), (7, 3)): {'bw': 2}, ((2, 0), (3, 1)): {'bw': 2}, ((2, 0), (1, 4)): {'bw': 2}, ((2, 0), (4, 9)): {'bw': 2}, ((2, 1), (32, 16)): {'bw': 3}, ((2, 1), (16, 7)): {'bw': 3}, ((2, 1), (7, 3)): {'bw': 3}, ((2, 1), (3, 1)): {'bw': 3}, ((2, 1), (1, 4)): {'bw': 3}, ((2, 1), (4, 9)): {'bw': 3}, ((2, 1), (9, 20)): {'bw': 3}, ((2, 1), (20, 52)): {'bw': 3}, ((4, 0), (37, 21)): {'bw': 20}, ((4, 0), (21, 10)): {'bw': 20}, ((4, 0), (10, 4)): {'bw': 20}, ((4, 0), (4, 9)): {'bw': 20}, ((4, 1), (37, 21)): {'bw': 17}, ((4, 1), (21, 10)): {'bw': 17}, ((4, 1), (10, 4)): {'bw': 17}, ((4, 1), (4, 9)): {'bw': 17}, ((4, 1), (9, 20)): {'bw': 17}, ((4, 1), (20, 52)): {'bw': 17}}",0.0,0.0,126.0,63.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -86}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -81}, 1: {'cpu': -84}, 2: {'cpu': -85}, 3: {'cpu': -87}, 4: {'cpu': -86}}, 'link_level': {(2, 0): {'bw': -45}, (2, 1): {'bw': -33}, (4, 0): {'bw': -26}, (4, 1): {'bw': -9}, (4, 2): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (2, 1): {}, (4, 0): {}, (4, 1): {}, (4, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(2, 0): {'bw': 0}, (2, 1): {'bw': 0}, (4, 0): {'bw': 0}, (4, 1): {'bw': 0}, (4, 2): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (2, 1): {}, (4, 0): {}, (4, 1): {}, (4, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,5.0,5.0
6,1,0,38.0,174.0,4239.644941438745,19413.11104764057,0.21839080459770116,0.21839080459770116,2,8,0,160.56960372207226,9202,4586,4616,0.0,0.0,1,111.56960372207224,49.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
7,1,0,38.0,174.0,4239.644941438745,19413.11104764057,0.21839080459770116,0.21839080459770116,2,9,1,181.0,9202,4586,4616,0.0,0.0,6,1316.109436881733,181.0,7,9,False,"{0: 1, 1: 0, 2: 20, 3: 32}","{(2, 0): [(20, 9), (9, 4), (4, 1)], (2, 1): [(20, 9), (9, 4), (4, 1), (1, 0)], (3, 2): []}","{(0, 1): {'cpu': 10}, (1, 0): {'cpu': 10}, (2, 20): {'cpu': 5}, (3, 32): {'cpu': 10}}","{((2, 0), (20, 9)): {'bw': 22}, ((2, 0), (9, 4)): {'bw': 22}, ((2, 0), (4, 1)): {'bw': 22}, ((2, 1), (20, 9)): {'bw': 37}, ((2, 1), (9, 4)): {'bw': 37}, ((2, 1), (4, 1)): {'bw': 37}, ((2, 1), (1, 0)): {'bw': 37}}",0.0,0.0,124.0,62.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -87}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -87}, 1: {'cpu': -84}, 2: {'cpu': -91}, 3: {'cpu': -87}}, 'link_level': {(2, 0): {'bw': -48}, (2, 1): {'bw': -11}, (3, 2): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (2, 1): {}, (3, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(2, 0): {'bw': 0}, (2, 1): {'bw': 0}, (3, 2): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (2, 1): {}, (3, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,4.0,3.0
